代码,    名称,涨幅%,现价,涨跌,涨速%,DDE净量,总手,换手%,量比,买入信号,利好,利空,所属行业,现手,开盘,昨收,最高,最低,买价,卖价,市盈(动),市净率,买量,卖量,委比%,振幅%,金额,均笔额,笔数,手/笔,外盘,内盘,总市值,流通市值,贡献度
SZ002560,通达股份,6.58,17.82,1.1,-0.11,0.96,2677529,5.86,2.34,4,无,无,电气设备,158480↑,16.79,16.72,17.84,16.64,17.81,17.82,--,--,8000,106095,-85.98,7.18,46059796,16822.42,2738,978,1535383,1142146,--,--,--
SZ300129,泰胜风能,6.53,12.08,0.74,0.33,-0.24,16624329,7.61,2.44,6,无,无,电气设备,359872↓,11.35,11.34,12.08,11.15,12.08,12.09,--,--,156028,7600,90.71,8.2,192527790,17569.61,10958,1517,9099440,7524889,--,--,--
SZ300162,雷曼光电,6.44,17.03,1.03,0,0.82,7242092,8.75,3.24,4,无,无,光学光电子,67398↓,15.98,16,17.6,15.98,17.03,17.04,--,--,28602,20400,16.74,10.13,122509345,20496.8,5977,1212,4107917,3134175,--,--,--
SZ300021,大禹节水,6.38,13.67,0.82,0,-0.14,21677533,13.34,2.1,0,无,无,农业服务,136100↑,12.68,12.85,14.14,12.51,13.66,13.67,--,--,40974,54201,-13.9,12.68,291876270,18933.33,15416,1406,11183143,10494390,--,--,--
SH600495,晋西车轴,6.23,11.26,0.66,0.45,-0.03,78522694,16.24,4.46,0,有,无,非汽车交运,76260↓,11,10.6,11.5,10.8,11.26,11.27,--,--,46800,34040,13.26,6.6,872708960,21563.81,40471,1940,40474765,38047929,--,--,--
SZ000883,湖北能源,6.22,6.32,0.37,-0.16,0.22,46585526,1.74,1.88,0,无,无,电力,538300↑,5.92,5.95,6.36,5.92,6.31,6.32,--,--,147200,170129,-7.23,7.39,284814040,24805.26,11482,4057,30092002,16493524,--,--,--
SH600435,北方导航,6.18,23.71,1.38,-0.46,1.79,97948709,13.15,1.07,5,无,无,非汽车交运,700↓,22.33,22.33,24.28,21.53,23.74,23.75,--,--,42848,72773,-19.66,12.32,2279986000,26590,85746,1142,56728683,41220026,--,--,--
SH600963,岳阳林纸,6.16,3.79,0.22,0,1.27,82982021,9.84,2.35,8,无,无,造纸,12100↑,3.68,3.57,3.93,3.65,3.79,3.8,--,--,64975,239000,5.09,7.84,319194790,18541.67,17215,4820,36097719,46884302,--,--,--
SZ000988,华工科技,6.13,9.52,0.55,0.11,1.09,53852151,6.04,3.51,7,无,无,其他电子,662500↑,8.98,8.97,9.6,8.93,9.51,9.52,--,--,171900,180485,-2.44,7.47,503718810,20571.71,24486,2199,35257989,18594162,--,--,--
SZ002197,证通电子,6.13,14.89,0.86,0.07,1.11,16095839,10.97,4.21,6,无,无,计算机设备,78100↑,14.1,14.03,15.28,14.05,14.88,14.89,--,--,118947,2350,96.13,8.77,237182110,17340.41,13678,1177,9687896,6407943,--,--,--
